Site_code;species_clean;ts;doy;year;day;month;hour;week;Rain_tot;AirTemp_Avg;RH_Avg;AirPres_Avg;Rg_Avg;WindSpeed;WindDir;O3_Avg;ozone;ozonec;ozoneppb;aot40h;sum60h;pod0;SoilTemp_Avg;VWC_Avg;LMA;gmax;vpd;fvpd;Dendro_1;Dendro_2;Dendro_3;Dendro_4;pod1;Dendro_mean
PIE1;fsylvatica;01/01/2018 00:00;1;2018;1;1;0;1;0;2.6;94.6;NA;0;0.278;278.1;33.27;1483.2875;1877.571169;33.27;0;0;0;2.21;0.363;61;69;0.039772193;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 01:00;1;2018;1;1;1;1;0;2.6;94.8;NA;0;0.274;314.1;32.68;1456.983333;1849.71503;32.68;0;0;0;2.209797;0.3636266;61;69;0.038299149;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 02:00;1;2018;1;1;2;1;0;2.4;95.3;NA;0;0.569;0.922;33.11;1476.154167;1671.592003;33.11;0;0;0;2.206022;0.364515;61;69;0.034126631;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 03:00;1;2018;1;1;3;1;0;2.2;95.8;NA;0;0.34;295.7;34.25;1526.979167;1861.132031;34.25;0;0;0;2.204661;0.3653083;61;69;0.030063829;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 04:00;1;2018;1;1;4;1;0;2.1;96;NA;0;0.76;250.7;32.39;1444.054167;1587.864683;32.39;0;0;0;2.202951;0.3664133;61;69;0.028428296;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 05:00;1;2018;1;1;5;1;0;1.9;96.3;NA;0;1.478;241.7;33.81;1507.3625;1585.080396;33.81;0;0;0;2.201906;0.3674861;61;69;0.025922474;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 06:00;1;2018;1;1;6;1;0;1.8;96.4;NA;0;0.984;338.6;31.86;1420.425;1530.029179;31.86;0;0;0;2.200593;0.368555;61;69;0.025041784;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 07:00;1;2018;1;1;7;1;0;1.8;96.7;NA;0;1.385;230.7;34.36;1531.883333;1616.128083;34.36;0;0;0;2.199529;0.3696411;61;69;0.022954968;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 08:00;1;2018;1;1;8;1;0;2.3;90.9;NA;0;1.272;340.7;37.41;1667.8625;1767.665263;37.41;0;0;0;2.197376;0.3707444;61;69;0.065605155;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
PIE1;fsylvatica;01/01/2018 09:00;1;2018;1;1;9;1;0;2.4;87.5;NA;11.91;1.395;354.5;34.8;1551.5;1636.216599;34.8;0;0;0.140505141;2.195471;0.3716716;61;69;0.090762316;1;1.082044;1.260274;1.224155;1.2787552;0;1.21130705
